# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# ORDERS=3,9,27,81,243,729
# EXPECTED_TOTALS=1,2,5,15,67,504
# TOTAL_GROUPS=594
# NEXT_ORDER=2187
# NEXT_ORDER_TOTAL=9310
# NEXT_ORDER_SCANNED=false
# CLIQUE_CUTOFF=8
# TARGET_CLIQUE=9
# SCOPE=finite_SmallGroups_orders_3_through_729_only_order_2187_not_scanned
group_order	group_id	structure	center_order	coset_count	pc_relative_orders	status	witness_vertices	witness_exponents	witness_forward_products	witness_reverse_products	is_ac	centralizer_indices	adjacency_masks
243	18	(C9 : C3) : C9	9	27	3,3,3,3,3	candidate					true	1,9,9,3,9,9,3,9,9,9,9,9,3,3,3,9,9,3,9,9,9,9,9,3,3,9,9	0,134217708,134217690,108892086,134217708,134217690,108892086,134215550,130023166,134184446,133692414,134215550,108892086,108892086,108892086,134184446,133890046,108892086,133890046,133692414,131071998,131071998,130023166,108892086,108892086,33554430,33554430
243	19	(C27 x C3) : C3	9	27	3,3,3,3,3	candidate					true	1,9,9,3,9,9,3,9,9,9,9,9,3,3,3,9,9,3,9,9,9,9,9,3,3,9,9	0,134217708,134217690,108892086,134217708,134217690,108892086,134215550,130023166,134184446,133692414,134215550,108892086,108892086,108892086,134184446,133890046,108892086,133890046,133692414,131071998,131071998,130023166,108892086,108892086,33554430,33554430
243	20	(C27 x C3) : C3	9	27	3,3,3,3,3	candidate					true	1,9,9,3,9,9,3,9,9,9,9,9,3,3,3,9,9,3,9,9,9,9,9,3,3,9,9	0,134217708,134217690,108892086,134217708,134217690,108892086,134215550,130023166,134184446,133692414,134215550,108892086,108892086,108892086,134184446,133890046,108892086,133890046,133692414,131071998,131071998,130023166,108892086,108892086,33554430,33554430
243	21	C9 : C27	27	9	3,3,3,3,3	candidate					true	1,3,3,3,3,3,3,3,3	0,500,490,500,490,414,414,126,126
243	22	C27 : C9	3	81	3,3,3,3,3	candidate					false	1,9,9,3,3,9,9,9,9,9,3,3,3,9,9,9,9,9,9,3,3,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9	0,2417851639229258332557132,2417851639229258080581874,2337567085318533177008354,2414604861375202145485636,2417851639229258332557132,2380049576878602127931326,2417851639229258332557132,2417851639229258080581874,2417851639229258080581874,2337567085318533177008354,1917248401866804527866790,2414604861375202145485636,2417851639229258332557132,2266726688121164797032446,2417556489054652502863854,2417851639229258332557132,2417851639229258080581874,2417851639229258080581874,584134569127222308234214,584134569127222308234214,1813388702400208551018494,1813388702400208551018494,2397744687625690096861182,2417851639229258332557132,1208704457559844651007998,1208704457559844651007998,2417556489054652502863854,2417851639229258080581874,2417850197971822863973366,2417850197971822863973366,2337568526575973227822070,1917248401866804527866790,2380049576878602127931326,2106175415325545713367038,2417556489054652502863854,2414900011549812305424366,1813388702400208551018494,2397744687625690096861182,2266726688121164797032446,2106175415325545713367038,2266726688121164797032446,2106175415325545713367038,2414900011549812305424366,2417556489054652502863854,2417850197971822863973366,2417850197971822863973366,2337568526575973227822070,2266726688121164797032446,2397744687625690096861182,1208704457559844651007998,2417556489054652502863854,2414900011549812305424366,1813388702400208551018494,1813388702400208551018494,2106175415325545713367038,2380049576878602127931326,2414900011549812305424366,2417850197971822863973366,2337568526575973227822070,2417850197971822863973366,2337568526575973227822070,2380049576878602127931326,2266726688121164797032446,2380049576878602127931326,2397744687625690096861182,1208704457559844651007998,1208704457559844651007998,2417556489054652502863854,2414900011549812305424366,2397744687625690096861182,2414900011549812305424366,2337568526575973227822070,2106175415325545713367038,2397744687625690096861182,2380049576878602127931326,2337568526575973227822070,2266726688121164797032446,2106175415325545713367038,1813388702400208551018494,1208704457559844651007998
243	23	C81 x C3	243	1	3,3,3,3,3	candidate					true	1	0
243	24	C81 : C3	27	9	3,3,3,3,3	candidate					true	1,3,3,3,3,3,3,3,3	0,500,490,500,490,414,414,126,126
243	25	(C3 . ((C3 x C3) : C3) = (C3 x C3) . (C3 x C3)) : C3	3	81	3,3,3,3,3	candidate					true	1,27,3,3,3,27,27,3,3,3,3,3,3,27,27,27,27,27,3,3,3,3,3,3,3,27,27,27,27,27,27,27,27,3,3,3,3,3,3,27,27,27,27,27,27,27,27,27,3,3,3,27,27,27,27,27,27,27,27,27,27,27,27,27,3,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27	0,2417851639229258349412316,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417851639229258349412316,2417851634725658722041790,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2408406906263519058976766,2417851639194073977307134,2417556491324078996553726,2417851639229258215129086,2417851639228708593467390,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417851639211666129813502,2417851639229258013868030,2417851639229258215129086,2417851639229258013868030,2115620184325600518864894,2266735911777428628832254,2417851495114068126072830,2413129272746384409231358,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417851639228708593467390,2417851639087421349429246,2417851567169465288228862,2417851621210461793419262,2417814745732314837286910,2417851639211666129813502,2417851639194073977307134,2415490455917454782627838,2417851639087421349429246,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417847025291440108339198,2417851634725658722041790,2417850477300554487824382,2417851621210461793419262,1813388693393146743095294,2417851567169465288228862,2417851495114068126072830,2417842127626845342924798,2417260766958147340337150,2417850477300554487824382,1208923513771619961012222,2417847025291440108339198,2417842127626845342924798,2417833190514318603706466,2417814745732314837286910,2398888386321484930351102,2379925133413711511289854,2417556491324078996553726,2417260766958147340337150,2341113183882626614689790,2415490455917454782627838,2413129272746384409231358,2408406906263519058976766,2398888386321484930351102,2379925133413711511289854,2341113183882626614689790,2266735911777428628832254,2115620184325600518864894,1813388693393146743095294,1208923513771619961012222
243	26	((C9 x C3) : C3) : C3	3	81	3,3,3,3,3	candidate					true	1,27,3,3,3,27,27,3,3,3,3,3,3,27,27,27,27,27,3,3,3,3,3,3,3,27,27,27,27,27,27,27,27,3,3,3,3,3,3,27,27,27,27,27,27,27,27,27,3,3,3,27,27,27,27,27,27,27,27,27,27,27,27,27,3,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27	0,2417851639229258349412316,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417851639229258349412316,2417851634725658722041790,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2408406906263519058976766,2417851639194073977307134,2417556491324078996553726,2417851639229258215129086,2417851639228708593467390,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417851639211666129813502,2417851639229258013868030,2417851639229258215129086,2417851639229258013868030,2115620184325600518864894,2266735911777428628832254,2417851495114068126072830,2413129272746384409231358,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417851639228708593467390,2417851639087421349429246,2417851567169465288228862,2417851621210461793419262,2417814745732314837286910,2417851639211666129813502,2417851639194073977307134,2415490455917454782627838,2417851639087421349429246,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417847025291440108339198,2417851634725658722041790,2417850477300554487824382,2417851621210461793419262,1813388693393146743095294,2417851567169465288228862,2417851495114068126072830,2417842127626845342924798,2417260766958147340337150,2417850477300554487824382,1208923513771619961012222,2417847025291440108339198,2417842127626845342924798,2417833190514318603706466,2417814745732314837286910,2398888386321484930351102,2379925133413711511289854,2417556491324078996553726,2417260766958147340337150,2341113183882626614689790,2415490455917454782627838,2413129272746384409231358,2408406906263519058976766,2398888386321484930351102,2379925133413711511289854,2341113183882626614689790,2266735911777428628832254,2115620184325600518864894,1813388693393146743095294,1208923513771619961012222
243	27	C3 . ((C9 x C3) : C3) = (C9 x C3) . (C3 x C3)	3	81	3,3,3,3,3	candidate					true	1,27,3,3,3,27,27,3,3,3,3,3,3,27,27,27,27,27,3,3,3,3,3,3,3,27,27,27,27,27,27,27,27,3,3,3,3,3,3,27,27,27,27,27,27,27,27,27,3,3,3,27,27,27,27,27,27,27,27,27,27,27,27,27,3,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27	0,2417851639229258349412316,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417851639229258349412316,2417851634725658722041790,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2408406906263519058976766,2417851639194073977307134,2417556491324078996553726,2417851639229258215129086,2417851639228708593467390,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417851639211666129813502,2417851639229258013868030,2417851639229258215129086,2417851639229258013868030,2115620184325600518864894,2266735911777428628832254,2417851495114068126072830,2413129272746384409231358,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417851639228708593467390,2417851639087421349429246,2417851567169465288228862,2417851621210461793419262,2417814745732314837286910,2417851639211666129813502,2417851639194073977307134,2415490455917454782627838,2417851639087421349429246,2417833190514318603706466,2417833190514318603706466,2417833190514318603706466,2417847025291440108339198,2417851634725658722041790,2417850477300554487824382,2417851621210461793419262,1813388693393146743095294,2417851567169465288228862,2417851495114068126072830,2417842127626845342924798,2417260766958147340337150,2417850477300554487824382,1208923513771619961012222,2417847025291440108339198,2417842127626845342924798,2417833190514318603706466,2417814745732314837286910,2398888386321484930351102,2379925133413711511289854,2417556491324078996553726,2417260766958147340337150,2341113183882626614689790,2415490455917454782627838,2413129272746384409231358,2408406906263519058976766,2398888386321484930351102,2379925133413711511289854,2341113183882626614689790,2266735911777428628832254,2115620184325600518864894,1813388693393146743095294,1208923513771619961012222
