Q=SmallGroup(79,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=7 total_kernels=667
Q=SmallGroup(80,1) exterior=5 all_subgroups=2 normal_kernels=2 runtime_ms=15 total_kernels=669
Q=SmallGroup(80,2) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=6 total_kernels=670
Q=SmallGroup(80,3) exterior=5 all_subgroups=2 normal_kernels=2 runtime_ms=15 total_kernels=672
Q=SmallGroup(80,4) exterior=10 all_subgroups=4 normal_kernels=4 runtime_ms=48 total_kernels=676
Q=SmallGroup(80,5) exterior=10 all_subgroups=4 normal_kernels=4 runtime_ms=23 total_kernels=680
Q=SmallGroup(80,6) exterior=20 all_subgroups=6 normal_kernels=6 runtime_ms=40 total_kernels=686
Q=SmallGroup(80,7) exterior=40 all_subgroups=8 normal_kernels=8 runtime_ms=43 total_kernels=694
Q=SmallGroup(80,8) exterior=20 all_subgroups=6 normal_kernels=6 runtime_ms=35 total_kernels=700
Q=SmallGroup(80,9) exterior=10 all_subgroups=4 normal_kernels=4 runtime_ms=30 total_kernels=704
Q=SmallGroup(80,10) exterior=10 all_subgroups=4 normal_kernels=4 runtime_ms=24 total_kernels=708
Q=SmallGroup(80,11) exterior=20 all_subgroups=6 normal_kernels=6 runtime_ms=81 total_kernels=714
Q=SmallGroup(80,12) exterior=20 all_subgroups=6 normal_kernels=6 runtime_ms=35 total_kernels=720
Q=SmallGroup(80,13) exterior=20 all_subgroups=6 normal_kernels=6 runtime_ms=49 total_kernels=726
Q=SmallGroup(80,14) exterior=40 all_subgroups=16 normal_kernels=12 runtime_ms=76 total_kernels=738
Q=SmallGroup(80,15) exterior=40 all_subgroups=8 normal_kernels=8 runtime_ms=49 total_kernels=746
Q=SmallGroup(80,16) exterior=20 all_subgroups=6 normal_kernels=6 runtime_ms=29 total_kernels=752
Q=SmallGroup(80,17) exterior=20 all_subgroups=6 normal_kernels=6 runtime_ms=31 total_kernels=758
Q=SmallGroup(80,18) exterior=20 all_subgroups=6 normal_kernels=6 runtime_ms=31 total_kernels=764
Q=SmallGroup(80,19) exterior=40 all_subgroups=16 normal_kernels=12 runtime_ms=76 total_kernels=776
Q=SmallGroup(80,20) exterior=4 all_subgroups=3 normal_kernels=3 runtime_ms=48 total_kernels=779
Q=SmallGroup(80,21) exterior=8 all_subgroups=8 normal_kernels=6 runtime_ms=48 total_kernels=785
Q=SmallGroup(80,22) exterior=4 all_subgroups=3 normal_kernels=3 runtime_ms=24 total_kernels=788
Q=SmallGroup(80,23) exterior=2 all_subgroups=2 normal_kernels=2 runtime_ms=15 total_kernels=790
Q=SmallGroup(80,24) exterior=2 all_subgroups=2 normal_kernels=2 runtime_ms=21 total_kernels=792
Q=SmallGroup(80,25) exterior=8 all_subgroups=4 normal_kernels=4 runtime_ms=35 total_kernels=796
Q=SmallGroup(80,26) exterior=4 all_subgroups=3 normal_kernels=3 runtime_ms=23 total_kernels=799
Q=SmallGroup(80,27) exterior=4 all_subgroups=3 normal_kernels=3 runtime_ms=23 total_kernels=802
Q=SmallGroup(80,28) exterior=10 all_subgroups=4 normal_kernels=4 runtime_ms=53 total_kernels=806
Q=SmallGroup(80,29) exterior=10 all_subgroups=4 normal_kernels=4 runtime_ms=28 total_kernels=810
Q=SmallGroup(80,30) exterior=20 all_subgroups=6 normal_kernels=6 runtime_ms=113 total_kernels=816
Q=SmallGroup(80,31) exterior=20 all_subgroups=6 normal_kernels=6 runtime_ms=40 total_kernels=822
Q=SmallGroup(80,32) exterior=10 all_subgroups=4 normal_kernels=4 runtime_ms=43 total_kernels=826
Q=SmallGroup(80,33) exterior=10 all_subgroups=4 normal_kernels=4 runtime_ms=29 total_kernels=830
Q=SmallGroup(80,34) exterior=40 all_subgroups=16 normal_kernels=12 runtime_ms=83 total_kernels=842
Q=SmallGroup(80,35) exterior=40 all_subgroups=32 normal_kernels=32 runtime_ms=127 total_kernels=874
Q=SmallGroup(80,36) exterior=40 all_subgroups=32 normal_kernels=32 runtime_ms=268 total_kernels=906
Q=SmallGroup(80,37) exterior=80 all_subgroups=54 normal_kernels=54 runtime_ms=235 total_kernels=960
Q=SmallGroup(80,38) exterior=40 all_subgroups=32 normal_kernels=32 runtime_ms=144 total_kernels=992
Q=SmallGroup(80,39) exterior=80 all_subgroups=54 normal_kernels=54 runtime_ms=236 total_kernels=1046
Q=SmallGroup(80,40) exterior=40 all_subgroups=32 normal_kernels=32 runtime_ms=158 total_kernels=1078
Q=SmallGroup(80,41) exterior=40 all_subgroups=32 normal_kernels=32 runtime_ms=135 total_kernels=1110
Q=SmallGroup(80,42) exterior=40 all_subgroups=32 normal_kernels=32 runtime_ms=170 total_kernels=1142
Q=SmallGroup(80,43) exterior=40 all_subgroups=32 normal_kernels=32 runtime_ms=312 total_kernels=1174
Q=SmallGroup(80,44) exterior=80 all_subgroups=54 normal_kernels=54 runtime_ms=281 total_kernels=1228
Q=SmallGroup(80,45) exterior=8 all_subgroups=16 normal_kernels=16 runtime_ms=216 total_kernels=1244
Q=SmallGroup(80,46) exterior=16 all_subgroups=27 normal_kernels=27 runtime_ms=107 total_kernels=1271
Q=SmallGroup(80,47) exterior=8 all_subgroups=16 normal_kernels=16 runtime_ms=63 total_kernels=1287
Q=SmallGroup(80,48) exterior=8 all_subgroups=16 normal_kernels=16 runtime_ms=111 total_kernels=1303
Q=SmallGroup(80,49) exterior=64 all_subgroups=101 normal_kernels=6 runtime_ms=184 total_kernels=1309
Q=SmallGroup(80,50) exterior=40 all_subgroups=32 normal_kernels=32 runtime_ms=329 total_kernels=1341
Q=SmallGroup(80,51) exterior=320 all_subgroups=5650 normal_kernels=5650 runtime_ms=22696 total_kernels=6991
Q=SmallGroup(80,52) exterior=64 all_subgroups=2825 normal_kernels=2825 runtime_ms=16424 total_kernels=9816
completed h7 exterior batch; quotient_rows=137 scanned=137 excluded=0 kernels=9816
