# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# MAX_Q_ORDER=81
# IDENTITY=|Q_wedge_Q|=|M(Q)|*|Q'|
# NO_SCHUR_COVER_CONSTRUCTED=true
q_order	q_id	structure	q_abelian	q_elementary_abelian	q_exponent	q_derived_order	q_center_order	multiplier_order	multiplier_invariants	multiplier_generator_count	exterior_order	about_exterior_structure	runtime_ms
32	37	C2 x (C8 : C2)	false	false	8	2	8	4	2,2	2	8	extension_of_Qprime_by_multiplier	3
32	38	(C8 x C2) : C2	false	false	8	2	8	4	2,2	2	8	extension_of_Qprime_by_multiplier	3
32	39	C2 x D16	false	false	8	4	4	8	2,2,2	3	32	extension_of_Qprime_by_multiplier	6
32	40	C2 x QD16	false	false	8	4	4	4	2,2	2	16	extension_of_Qprime_by_multiplier	5
32	41	C2 x Q16	false	false	8	4	4	4	2,2	2	16	extension_of_Qprime_by_multiplier	3
32	42	(C8 x C2) : C2	false	false	8	4	4	4	2,2	2	16	extension_of_Qprime_by_multiplier	3
32	43	C8 : (C2 x C2)	false	false	8	4	2	4	2,2	2	16	extension_of_Qprime_by_multiplier	4
32	44	(C2 x Q8) : C2	false	false	8	4	2	4	2,2	2	16	extension_of_Qprime_by_multiplier	7
32	45	C4 x C2 x C2 x C2	true	false	4	1	32	64	2,2,2,2,2,2	6	64	multiplier_is_exact_exterior_structure	7
32	46	C2 x C2 x D8	false	false	4	2	8	64	2,2,2,2,2,2	6	128	extension_of_Qprime_by_multiplier	6
32	47	C2 x C2 x Q8	false	false	4	2	8	32	2,2,2,2,2	5	64	extension_of_Qprime_by_multiplier	7
32	48	C2 x ((C4 x C2) : C2)	false	false	4	2	8	32	2,2,2,2,2	5	64	extension_of_Qprime_by_multiplier	4
32	49	(C2 x C2 x C2) : (C2 x C2)	false	false	4	2	2	32	2,2,2,2,2	5	64	extension_of_Qprime_by_multiplier	3
32	50	(C2 x Q8) : C2	false	false	4	2	2	32	2,2,2,2,2	5	64	extension_of_Qprime_by_multiplier	7
32	51	C2 x C2 x C2 x C2 x C2	true	true	2	1	32	1024	2,2,2,2,2,2,2,2,2,2	10	1024	multiplier_is_exact_exterior_structure	12
33	1	C33	true	false	33	1	33	1		0	1	multiplier_is_exact_exterior_structure	1
34	1	D34	false	false	34	17	1	1		0	17	extension_of_Qprime_by_multiplier	4
34	2	C34	true	false	34	1	34	1		0	1	multiplier_is_exact_exterior_structure	1
35	1	C35	true	false	35	1	35	1		0	1	multiplier_is_exact_exterior_structure	1
36	1	C9 : C4	false	false	36	9	2	1		0	9	extension_of_Qprime_by_multiplier	4
36	2	C36	true	false	36	1	36	1		0	1	multiplier_is_exact_exterior_structure	2
36	3	(C2 x C2) : C9	false	false	18	4	3	2	2	1	8	extension_of_Qprime_by_multiplier	3
36	4	D36	false	false	18	9	2	2	2	1	18	extension_of_Qprime_by_multiplier	3
36	5	C18 x C2	true	false	18	1	36	2	2	1	2	multiplier_is_exact_exterior_structure	1
36	6	C3 x (C3 : C4)	false	false	12	3	6	1		0	3	extension_of_Qprime_by_multiplier	2
36	7	(C3 x C3) : C4	false	false	12	9	2	3	3	1	27	extension_of_Qprime_by_multiplier	2
36	8	C12 x C3	true	false	12	1	36	3	3	1	3	multiplier_is_exact_exterior_structure	4
36	9	(C3 x C3) : C4	false	false	12	9	1	3	3	1	27	extension_of_Qprime_by_multiplier	4
36	10	S3 x S3	false	false	6	9	1	2	2	1	18	extension_of_Qprime_by_multiplier	2
36	11	C3 x A4	false	false	6	4	3	6	2,3	2	24	extension_of_Qprime_by_multiplier	2
36	12	C6 x S3	false	false	6	3	6	2	2	1	6	extension_of_Qprime_by_multiplier	2
36	13	C2 x ((C3 x C3) : C2)	false	false	6	9	2	6	2,3	2	54	extension_of_Qprime_by_multiplier	2
36	14	C6 x C6	true	false	6	1	36	6	2,3	2	6	multiplier_is_exact_exterior_structure	2
37	1	C37	true	true	37	1	37	1		0	1	multiplier_is_exact_exterior_structure	0
38	1	D38	false	false	38	19	1	1		0	19	extension_of_Qprime_by_multiplier	14
38	2	C38	true	false	38	1	38	1		0	1	multiplier_is_exact_exterior_structure	1
39	1	C13 : C3	false	false	39	13	1	1		0	13	extension_of_Qprime_by_multiplier	1
39	2	C39	true	false	39	1	39	1		0	1	multiplier_is_exact_exterior_structure	1
40	1	C5 : C8	false	false	40	5	4	1		0	5	extension_of_Qprime_by_multiplier	2
40	2	C40	true	false	40	1	40	1		0	1	multiplier_is_exact_exterior_structure	2
40	3	C5 : C8	false	false	40	5	2	1		0	5	extension_of_Qprime_by_multiplier	2
40	4	C5 : Q8	false	false	20	10	2	1		0	10	extension_of_Qprime_by_multiplier	4
40	5	C4 x D10	false	false	20	5	4	2	2	1	10	extension_of_Qprime_by_multiplier	3
40	6	D40	false	false	20	10	2	2	2	1	20	extension_of_Qprime_by_multiplier	2
40	7	C2 x (C5 : C4)	false	false	20	5	4	2	2	1	10	extension_of_Qprime_by_multiplier	2
40	8	(C10 x C2) : C2	false	false	20	10	2	2	2	1	20	extension_of_Qprime_by_multiplier	2
40	9	C20 x C2	true	false	20	1	40	2	2	1	2	multiplier_is_exact_exterior_structure	2
40	10	C5 x D8	false	false	20	2	10	2	2	1	4	extension_of_Qprime_by_multiplier	3
40	11	C5 x Q8	false	false	20	2	10	1		0	2	extension_of_Qprime_by_multiplier	2
40	12	C2 x (C5 : C4)	false	false	20	5	2	2	2	1	10	extension_of_Qprime_by_multiplier	2
40	13	C2 x C2 x D10	false	false	10	5	4	8	2,2,2	3	40	extension_of_Qprime_by_multiplier	8
40	14	C10 x C2 x C2	true	false	10	1	40	8	2,2,2	3	8	multiplier_is_exact_exterior_structure	2
41	1	C41	true	true	41	1	41	1		0	1	multiplier_is_exact_exterior_structure	1
42	1	C7 : C6	false	false	42	7	1	1		0	7	extension_of_Qprime_by_multiplier	1
42	2	C2 x (C7 : C3)	false	false	42	7	2	1		0	7	extension_of_Qprime_by_multiplier	2
42	3	C7 x S3	false	false	42	3	7	1		0	3	extension_of_Qprime_by_multiplier	1
42	4	C3 x D14	false	false	42	7	3	1		0	7	extension_of_Qprime_by_multiplier	1
42	5	D42	false	false	42	21	1	1		0	21	extension_of_Qprime_by_multiplier	2
42	6	C42	true	false	42	1	42	1		0	1	multiplier_is_exact_exterior_structure	1
43	1	C43	true	true	43	1	43	1		0	1	multiplier_is_exact_exterior_structure	1
44	1	C11 : C4	false	false	44	11	2	1		0	11	extension_of_Qprime_by_multiplier	2
44	2	C44	true	false	44	1	44	1		0	1	multiplier_is_exact_exterior_structure	1
44	3	D44	false	false	22	11	2	2	2	1	22	extension_of_Qprime_by_multiplier	3
44	4	C22 x C2	true	false	22	1	44	2	2	1	2	multiplier_is_exact_exterior_structure	2
45	1	C45	true	false	45	1	45	1		0	1	multiplier_is_exact_exterior_structure	1
45	2	C15 x C3	true	false	15	1	45	3	3	1	3	multiplier_is_exact_exterior_structure	2
46	1	D46	false	false	46	23	1	1		0	23	extension_of_Qprime_by_multiplier	18
46	2	C46	true	false	46	1	46	1		0	1	multiplier_is_exact_exterior_structure	1
47	1	C47	true	true	47	1	47	1		0	1	multiplier_is_exact_exterior_structure	0
48	1	C3 : C16	false	false	48	3	8	1		0	3	extension_of_Qprime_by_multiplier	4
48	2	C48	true	false	48	1	48	1		0	1	multiplier_is_exact_exterior_structure	6
48	3	(C4 x C4) : C3	false	false	12	16	1	4	4	1	64	extension_of_Qprime_by_multiplier	19
48	4	C8 x S3	false	false	24	3	8	2	2	1	6	extension_of_Qprime_by_multiplier	3
48	5	C24 : C2	false	false	24	6	4	1		0	6	extension_of_Qprime_by_multiplier	3
48	6	C24 : C2	false	false	24	12	2	1		0	12	extension_of_Qprime_by_multiplier	2
48	7	D48	false	false	24	12	2	2	2	1	24	extension_of_Qprime_by_multiplier	2
48	8	C3 : Q16	false	false	24	12	2	1		0	12	extension_of_Qprime_by_multiplier	3
48	9	C2 x (C3 : C8)	false	false	24	3	8	2	2	1	6	extension_of_Qprime_by_multiplier	3
48	10	(C3 : C8) : C2	false	false	24	6	4	1		0	6	extension_of_Qprime_by_multiplier	3
48	11	C4 x (C3 : C4)	false	false	12	3	8	4	4	1	12	extension_of_Qprime_by_multiplier	8
48	12	(C3 : C4) : C4	false	false	12	6	4	2	2	1	12	extension_of_Qprime_by_multiplier	6
48	13	C12 : C4	false	false	12	6	4	2	2	1	12	extension_of_Qprime_by_multiplier	2
48	14	(C12 x C2) : C2	false	false	12	6	4	4	2,2	2	24	extension_of_Qprime_by_multiplier	2
48	15	(C3 x D8) : C2	false	false	24	12	2	2	2	1	24	extension_of_Qprime_by_multiplier	2
48	16	(C3 : Q8) : C2	false	false	24	12	2	1		0	12	extension_of_Qprime_by_multiplier	3
48	17	(C3 x Q8) : C2	false	false	24	12	2	1		0	12	extension_of_Qprime_by_multiplier	3
48	18	C3 : Q16	false	false	24	12	2	1		0	12	extension_of_Qprime_by_multiplier	3
48	19	(C6 x C2) : C4	false	false	12	6	4	4	2,2	2	24	extension_of_Qprime_by_multiplier	3
48	20	C12 x C4	true	false	12	1	48	4	4	1	4	multiplier_is_exact_exterior_structure	3
48	21	C3 x ((C4 x C2) : C2)	false	false	12	2	12	4	2,2	2	8	extension_of_Qprime_by_multiplier	4
48	22	C3 x (C4 : C4)	false	false	12	2	12	2	2	1	4	extension_of_Qprime_by_multiplier	3
48	23	C24 x C2	true	false	24	1	48	2	2	1	2	multiplier_is_exact_exterior_structure	2
48	24	C3 x (C8 : C2)	false	false	24	2	12	1		0	2	extension_of_Qprime_by_multiplier	2
48	25	C3 x D16	false	false	24	4	6	2	2	1	8	extension_of_Qprime_by_multiplier	3
48	26	C3 x QD16	false	false	24	4	6	1		0	4	extension_of_Qprime_by_multiplier	4
48	27	C3 x Q16	false	false	24	4	6	1		0	4	extension_of_Qprime_by_multiplier	2
48	28	C2 . S4 = SL(2,3) . C2	false	false	24	24	2	1		0	24	extension_of_Qprime_by_multiplier	5
48	29	GL(2,3)	false	false	24	24	2	1		0	24	extension_of_Qprime_by_multiplier	6
48	30	A4 : C4	false	false	12	12	2	2	2	1	24	extension_of_Qprime_by_multiplier	3
48	31	C4 x A4	false	false	12	4	4	2	2	1	8	extension_of_Qprime_by_multiplier	3
48	32	C2 x SL(2,3)	false	false	12	8	4	1		0	8	extension_of_Qprime_by_multiplier	5
48	33	((C4 x C2) : C2) : C3	false	false	12	8	4	1		0	8	extension_of_Qprime_by_multiplier	3
48	34	C2 x (C3 : Q8)	false	false	12	6	4	4	2,2	2	24	extension_of_Qprime_by_multiplier	10
48	35	C2 x C4 x S3	false	false	12	3	8	8	2,2,2	3	24	extension_of_Qprime_by_multiplier	3
48	36	C2 x D24	false	false	12	6	4	8	2,2,2	3	48	extension_of_Qprime_by_multiplier	3
48	37	(C12 x C2) : C2	false	false	12	6	4	4	2,2	2	24	extension_of_Qprime_by_multiplier	2
48	38	D8 x S3	false	false	12	6	2	8	2,2,2	3	48	extension_of_Qprime_by_multiplier	4
48	39	(C4 x S3) : C2	false	false	12	6	2	4	2,2	2	24	extension_of_Qprime_by_multiplier	4
48	40	Q8 x S3	false	false	12	6	2	4	2,2	2	24	extension_of_Qprime_by_multiplier	4
48	41	(C4 x S3) : C2	false	false	12	6	2	4	2,2	2	24	extension_of_Qprime_by_multiplier	8
48	42	C2 x C2 x (C3 : C4)	false	false	12	3	8	8	2,2,2	3	24	extension_of_Qprime_by_multiplier	7
48	43	C2 x ((C6 x C2) : C2)	false	false	12	6	4	8	2,2,2	3	48	extension_of_Qprime_by_multiplier	3
48	44	C12 x C2 x C2	true	false	12	1	48	8	2,2,2	3	8	multiplier_is_exact_exterior_structure	5
48	45	C6 x D8	false	false	12	2	12	8	2,2,2	3	16	extension_of_Qprime_by_multiplier	7
48	46	C6 x Q8	false	false	12	2	12	4	2,2	2	8	extension_of_Qprime_by_multiplier	5
48	47	C3 x ((C4 x C2) : C2)	false	false	12	2	12	4	2,2	2	8	extension_of_Qprime_by_multiplier	6
48	48	C2 x S4	false	false	12	12	2	4	2,2	2	48	extension_of_Qprime_by_multiplier	5
48	49	C2 x C2 x A4	false	false	6	4	4	4	2,2	2	16	extension_of_Qprime_by_multiplier	3
48	50	(C2 x C2 x C2 x C2) : C3	false	false	6	16	1	16	2,2,2,2	4	256	extension_of_Qprime_by_multiplier	5
48	51	C2 x C2 x C2 x S3	false	false	6	3	8	64	2,2,2,2,2,2	6	192	extension_of_Qprime_by_multiplier	3
48	52	C6 x C2 x C2 x C2	true	false	6	1	48	64	2,2,2,2,2,2	6	64	multiplier_is_exact_exterior_structure	6
49	1	C49	true	false	49	1	49	1		0	1	multiplier_is_exact_exterior_structure	1
49	2	C7 x C7	true	true	7	1	49	7	7	1	7	multiplier_is_exact_exterior_structure	2
50	1	D50	false	false	50	25	1	1		0	25	extension_of_Qprime_by_multiplier	4
50	2	C50	true	false	50	1	50	1		0	1	multiplier_is_exact_exterior_structure	1
50	3	C5 x D10	false	false	10	5	5	1		0	5	extension_of_Qprime_by_multiplier	2
50	4	(C5 x C5) : C2	false	false	10	25	1	5	5	1	125	extension_of_Qprime_by_multiplier	1
50	5	C10 x C5	true	false	10	1	50	5	5	1	5	multiplier_is_exact_exterior_structure	3
51	1	C51	true	false	51	1	51	1		0	1	multiplier_is_exact_exterior_structure	1
52	1	C13 : C4	false	false	52	13	2	1		0	13	extension_of_Qprime_by_multiplier	7
52	2	C52	true	false	52	1	52	1		0	1	multiplier_is_exact_exterior_structure	1
52	3	C13 : C4	false	false	52	13	1	1		0	13	extension_of_Qprime_by_multiplier	12
52	4	D52	false	false	26	13	2	2	2	1	26	extension_of_Qprime_by_multiplier	2
52	5	C26 x C2	true	false	26	1	52	2	2	1	2	multiplier_is_exact_exterior_structure	2
53	1	C53	true	true	53	1	53	1		0	1	multiplier_is_exact_exterior_structure	0
54	1	D54	false	false	54	27	1	1		0	27	extension_of_Qprime_by_multiplier	2
54	2	C54	true	false	54	1	54	1		0	1	multiplier_is_exact_exterior_structure	3
54	3	C3 x D18	false	false	18	9	3	1		0	9	extension_of_Qprime_by_multiplier	4
54	4	C9 x S3	false	false	18	3	9	1		0	3	extension_of_Qprime_by_multiplier	3
54	5	(C3 x C3) : C6	false	false	6	9	1	3	3	1	27	extension_of_Qprime_by_multiplier	3
54	6	C9 : C6	false	false	18	9	1	1		0	9	extension_of_Qprime_by_multiplier	3
54	7	(C9 x C3) : C2	false	false	18	27	1	3	3	1	81	extension_of_Qprime_by_multiplier	3
54	8	((C3 x C3) : C3) : C2	false	false	6	27	3	1		0	27	extension_of_Qprime_by_multiplier	2
