group_id	structure	center_size	coset_count	is_ac	adjacency
SmallGroup(128,1003)	C4 x C4 x D8	32	4	true	;3,4;2,4;2,3
SmallGroup(128,1004)	C4 x C4 x Q8	32	4	true	;3,4;2,4;2,3
SmallGroup(128,1005)	(C2 x C2 x C2) : (C4 x C4)	8	16	false	;3,5,8,9,11,12,13,14;2,4,8,10,11,12,13,15;3,7,9,10,11,13,15,16;2,6,9,10,11,12,14,16;5,7,8,10,12,14,15,16;4,6,8,9,13,14,15,16;2,3,6,7,12,13,14,15;2,4,5,7,11,13,14,16;3,4,5,6,11,12,15,16;2,3,4,5,9,10,14,15;2,3,5,6,8,10,13,16;2,3,4,7,8,9,12,16;2,5,6,7,8,9,11,15;3,4,6,7,8,10,11,14;4,5,6,7,9,10,12,13
SmallGroup(128,1006)	(C4 x C2) : (C4 x C4)	8	16	false	;3,5,8,9,11,12,13,14;2,4,8,10,11,12,13,15;3,7,9,10,11,13,15,16;2,6,9,10,11,12,14,16;5,7,8,10,12,14,15,16;4,6,8,9,13,14,15,16;2,3,6,7,12,13,14,15;2,4,5,7,11,13,14,16;3,4,5,6,11,12,15,16;2,3,4,5,9,10,14,15;2,3,5,6,8,10,13,16;2,3,4,7,8,9,12,16;2,5,6,7,8,9,11,15;3,4,6,7,8,10,11,14;4,5,6,7,9,10,12,13
SmallGroup(128,1007)	D8 : (C4 x C4)	8	16	false	;3,5,8,9,11,12,13,14;2,4,8,10,11,12,13,15;3,7,9,10,11,13,15,16;2,6,9,10,11,12,14,16;5,7,8,10,12,14,15,16;4,6,8,9,13,14,15,16;2,3,6,7,12,13,14,15;2,4,5,7,11,13,14,16;3,4,5,6,11,12,15,16;2,3,4,5,9,10,14,15;2,3,5,6,8,10,13,16;2,3,4,7,8,9,12,16;2,5,6,7,8,9,11,15;3,4,6,7,8,10,11,14;4,5,6,7,9,10,12,13
SmallGroup(128,1008)	Q8 : (C4 x C4)	8	16	false	;3,5,8,9,11,12,13,14;2,4,8,10,11,12,13,15;3,7,9,10,11,13,15,16;2,6,9,10,11,12,14,16;5,7,8,10,12,14,15,16;4,6,8,9,13,14,15,16;2,3,6,7,12,13,14,15;2,4,5,7,11,13,14,16;3,4,5,6,11,12,15,16;2,3,4,5,9,10,14,15;2,3,5,6,8,10,13,16;2,3,4,7,8,9,12,16;2,5,6,7,8,9,11,15;3,4,6,7,8,10,11,14;4,5,6,7,9,10,12,13
SmallGroup(128,1009)	C2 x ((C2 x C2) : ((C4 x C2) : C2))	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1010)	C2 x (C4 : ((C4 x C2) : C2))	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1011)	C2 x ((C4 x C2 x C2) : C4)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1012)	(C2 x C2) : ((C4 x C4) : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1013)	C2 x ((C4 x C4) : C4)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1014)	C2 x ((C4 x C4) : C4)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1015)	(C4 x C4 x C2) : C4	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1016)	C2 x (C4 : (C4 : C4))	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1017)	C4 : ((C4 x C4) : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1018)	C2 x ((C2 x C2) : (C4 : C4))	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1019)	C2 x ((C2 x C2) : ((C4 x C2) : C2))	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1020)	C2 x ((C4 : C4) : C4)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1021)	C2 x (((C4 x C2) : C2) : C4)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1022)	(C2 x C2) : ((C4 x C4) : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1023)	C2 x (C4 : (C4 : C4))	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1024)	C2 x (C4 : ((C4 x C2) : C2))	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1025)	C4 : ((C4 x C4) : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,1026)	C2 x ((C4 x C2) : Q8)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
