# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# MAX_Q_ORDER=16
q_order	q_id	structure	cover_order	exterior_order	all_exterior_subgroups	normal_kernel_count	kernel_serial	kernel_order	kernel_index	adjacency
16	2	C4 x C4	64	4	3	3	2	2	2	;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;;;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,3,7,8,9,10,14,15
16	2	C4 x C4	64	4	3	3	3	4	1	;;;;;;;;;;;;;;;
16	3	(C4 x C2) : C2	64	8	8	6	1	1	8	;3,4,6,7,9,10,11,12,13,14,15,16;2,4,5,6,7,8,9,10,11,12,13,14,15,16;2,3,6,7,8,9,10,12,13,14,15,16;3,6,9,10,12,13,15,16;2,3,4,5,7,8,9,10,12,13,14,15;2,3,4,6,8,9,10,11,12,13,15,16;3,4,6,7,9,10,11,12,13,14,15,16;2,3,4,5,6,7,8,10,11,12,13,14,15,16;2,3,4,5,6,7,8,9,11,12,13,14,15,16;2,3,7,8,9,10,14,15;2,3,4,5,6,7,8,9,10,14,15,16;2,3,4,5,6,7,8,9,10,14,15,16;2,3,4,6,8,9,10,11,12,13,15,16;2,3,4,5,6,7,8,9,10,11,12,13,14,16;2,3,4,5,7,8,9,10,12,13,14,15
16	3	(C4 x C2) : C2	64	8	8	6	2	2	4	;3,4,6,7,9,10,11,12,13,14,15,16;2,4,6,7,8,9,11,12,13,14,15,16;2,3,7,8,9,10,14,15;;2,3,7,8,9,10,14,15;2,3,4,6,8,9,10,11,12,13,15,16;3,4,6,7,9,10,11,12,13,14,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,4,6,7,8,9,11,12,13,14,15,16;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;2,3,4,6,8,9,10,11,12,13,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,3,7,8,9,10,14,15
16	3	(C4 x C2) : C2	64	8	8	6	3	2	4	;3,6,9,10,12,13,15,16;2,4,5,6,7,8,9,10,12,13,14,16;3,6,9,10,12,13,15,16;3,6,9,10,12,13,15,16;2,3,4,5,7,8,9,10,12,13,14,15;3,6,9,10,12,13,15,16;3,6,9,10,12,13,15,16;2,3,4,5,6,7,8,12,13,14,15,16;2,3,4,5,6,7,8,12,13,14,15,16;;2,3,4,5,6,7,8,9,10,14,15,16;2,3,4,5,6,7,8,9,10,14,15,16;3,6,9,10,12,13,15,16;2,4,5,6,7,8,9,10,12,13,14,16;2,3,4,5,7,8,9,10,12,13,14,15
16	3	(C4 x C2) : C2	64	8	8	6	4	2	4	;3,4,6,7,9,10,11,12,13,14,15,16;2,5,6,7,8,10,11,12,13,14,15,16;2,6,7,8,12,13,14,16;3,6,9,10,12,13,15,16;2,3,4,5,7,8,9,10,12,13,14,15;2,3,4,6,8,9,10,11,12,13,15,16;3,4,6,7,9,10,11,12,13,14,15,16;2,5,6,7,8,10,11,12,13,14,15,16;2,3,5,6,7,8,9,11,12,13,14,16;2,3,7,8,9,10,14,15;2,3,4,5,6,7,8,9,10,14,15,16;2,3,4,5,6,7,8,9,10,14,15,16;2,3,4,6,8,9,10,11,12,13,15,16;2,3,5,6,7,8,9,11,12,13,14,16;2,3,4,5,7,8,9,10,12,13,14,15
16	3	(C4 x C2) : C2	64	8	8	6	5	4	2	;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;;;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,3,7,8,9,10,14,15
16	3	(C4 x C2) : C2	64	8	8	6	6	8	1	;;;;;;;;;;;;;;;
16	4	C4 : C4	32	4	3	3	1	1	4	;3,4,6,7,9,10,11,12,13,14,15,16;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;;2,3,4,7,8,9,10,11,12,14,15,16;2,3,4,6,8,9,10,11,12,13,15,16;3,4,6,7,9,10,11,12,13,14,15,16;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;2,3,4,6,7,8,9,10,11,13,14,15;2,3,4,7,8,9,10,11,12,14,15,16;2,3,4,6,8,9,10,11,12,13,15,16;2,6,7,8,12,13,14,16;2,3,4,6,7,8,9,10,11,13,14,15
16	4	C4 : C4	32	4	3	3	2	2	2	;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;;;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,6,7,8,12,13,14,16;;2,3,7,8,9,10,14,15;2,3,7,8,9,10,14,15;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,3,7,8,9,10,14,15
16	4	C4 : C4	32	4	3	3	3	4	1	;;;;;;;;;;;;;;;
